root@orangepi5b:~/navigation2_ws# ros2 run nav2_application  get_robot_pose
[WARN] [1744942019.115103559] [tf2_listener]: 不能够获取坐标变换，原因: Lookup would require extrapolation into the past.  Requested time 1744942017.817406 but the earliest data is at time 1744942017.824711, when looking up transform from frame [base_footprint] to frame [map]
[WARN] [1744942020.130328434] [tf2_listener]: 不能够获取坐标变换，原因: Lookup would require extrapolation into the past.  Requested time 1744942017.817406 but the earliest data is at time 1744942017.824711, when looking up transform from frame [base_footprint] to frame [map]
[WARN] [1744942021.144332246] [tf2_listener]: 不能够获取坐标变换，原因: Lookup would require extrapolation into the past.  Requested time 1744942017.817406 but the earliest data is at time 1744942017.824711, when looking up transform from frame [base_footprint] to frame [map]
[INFO] [1744942021.148711257] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-0.9465635330763403, y=0.16953829581579405, z=-0.15000000000000002),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9964605946489193, w=0.08406118790453838):旋转欧拉角:(0.0, -0.0, 2.97327164545727)
[INFO] [1744942022.018447157] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-0.9459947169397188, y=0.16965420318413127, z=-0.15000000000000002),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9964566140235002, w=0.08410836087346607):旋转欧拉角:(0.0, -0.0, 2.9731769642156936)
[INFO] [1744942023.016936850] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-0.9463178145614384, y=0.16961064369418533, z=-0.15),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9964609118514098, w=0.08405742770426071):旋转欧拉角:(0.0, -0.0, 2.9732791925689153)
[INFO] [1744942024.017299929] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-0.9466859374676472, y=0.16986147736153323, z=-0.15000000000000002),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9964603539833248, w=0.08406404070366312):旋转欧拉角:(0.0, -0.0, 2.9732659195921736)
[INFO] [1744942025.015671873] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-1.0056027632222089, y=0.17920856642705973, z=-0.15000000000000002),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9987430437565953, w=0.050123173760364285):旋转欧拉角:(0.0, -0.0, 3.041304283182469)
[INFO] [1744942026.014858513] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-1.2303336774845393, y=0.15879008960502183, z=-0.15),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9919222426900405, w=0.1268474061885401):旋转欧拉角:(0.0, -0.0, 2.8872125313521426)
[INFO] [1744942027.017636593] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-1.4647140271706545, y=0.19782170524305442, z=-0.15000000000000002),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9926554392119508, w=0.12097594390179071):旋转欧拉角:(0.0, -0.0, 2.8990466766404546)
[INFO] [1744942028.015009055] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-1.2487470277950141, y=0.385118045105859, z=-0.15000000000000002),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9967344541948393, w=0.0807491660694759):旋转欧拉角:(0.0, -0.0, 2.9799182981040975)
[INFO] [1744942029.017408641] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-1.0234907934417927, y=0.5999504981521331, z=-0.15),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9957234050819795, w=0.09238452560871886):旋转欧拉角:(0.0, -0.0, 2.956559756844485)
[INFO] [1744942030.016905151] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-1.068329360969432, y=0.5738743199781371, z=-0.15000000000000002),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9967271523263566, w=0.08083924675176084):旋转欧拉角:(0.0, -0.0, 2.9797375458248885)
[INFO] [1744942031.016880361] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-1.1086141281728337, y=0.5574101046666096, z=-0.15000000000000002),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9967354391657444, w=0.08073700707278392):旋转欧拉角:(0.0, -0.0, 2.9799426957571193)
[INFO] [1744942032.016468619] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-1.115467272131165, y=0.55383215741671, z=-0.15000000000000008),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9963179374455349, w=0.08573545080230965):旋转欧拉角:(0.0, -0.0, 2.969910986002412)
[INFO] [1744942033.017916554] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-1.1454349497751635, y=0.5468687611176504, z=-0.15000000000000002),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9967500633185529, w=0.08055626154719961):旋转欧拉角:(0.0, -0.0, 2.9803053681214053)
[INFO] [1744942034.016767324] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-1.1641154132646294, y=0.5380165102500478, z=-0.15000000000000002),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9964485252580575, w=0.08420413594974104):旋转欧拉角:(0.0, -0.0, 2.9729847321333662)
[INFO] [1744942035.014843857] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-1.0785422812282666, y=0.3707250828497872, z=-0.15000000000000002),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9885078370906001, w=0.15116962661349598):旋转欧拉角:(0.0, -0.0, 2.838089872704115)
[INFO] [1744942036.017059447] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-0.6994138808449439, y=0.6030194227814556, z=-0.15000000000000005),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9237393303863881, w=0.3830217350194469):旋转欧拉角:(0.0, -0.0, 2.3554620823189034)
[INFO] [1744942037.017082906] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-0.20800245217692315, y=0.9498740179253864, z=-0.14999999999999997),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9370344461210772, w=0.34923694933750354):旋转欧拉角:(0.0, -0.0, 2.4280793438897668)
[INFO] [1744942038.016034383] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-0.20714546629443897, y=1.2554184283146372, z=-0.15000000000000002),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.96332427587526, w=0.26833997001826976):旋转欧拉角:(0.0, -0.0, 2.598253881371281)
[INFO] [1744942039.014875195] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-0.2779724091876449, y=1.4697926573812468, z=-0.15),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.8244677345547501, w=0.565908963242462):旋转欧拉角:(0.0, -0.0, 1.9385220098089924)
[INFO] [1744942040.016823164] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-0.004874214425033774, y=1.6087162660889864, z=-0.15000000000000002),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.6275326855995144, w=0.7785902186029959):旋转欧拉角:(0.0, -0.0, 1.3567603954235576)
[INFO] [1744942041.018897506] [tf2_listener]: 平移:geometry_msgs.msg.Vector3(x=-0.05861526101296577, y=1.8788405169977433, z=-0.14999999999999997),旋转四元数:geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.5911674519193173, w=0.8065488477403099):旋转欧拉角:(0.0, -0.0, 1.2650110802410914)
