[INFO] [1744940648.617595937] [path_listener_py]: 接收到的路径有 227 个位姿
[INFO] [1744940648.618113053] [path_listener_py]: Pose 0: Position (x=-1.9799999783933164, y=-2.999999856948852, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940648.618553753] [path_listener_py]: Pose 10: Position (x=-1.7063526659660444, y=-3.137966777950032, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940648.618991537] [path_listener_py]: Pose 20: Position (x=-1.4733246320981483, y=-3.228340009277167, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940648.619469278] [path_listener_py]: Pose 30: Position (x=-1.2374569375434068, y=-3.2971731707032514, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940648.619886062] [path_listener_py]: Pose 40: Position (x=-0.9879881304202702, y=-3.3131201313900984, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940648.620294388] [path_listener_py]: Pose 50: Position (x=-0.7380365733509753, y=-3.314303450499528, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940648.620723130] [path_listener_py]: Pose 60: Position (x=-0.49535354055991165, y=-3.289208845633402, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940648.621146330] [path_listener_py]: Pose 70: Position (x=-0.25034640342513415, y=-3.24230332735633, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940648.621560781] [path_listener_py]: Pose 80: Position (x=0.02000005140900596, y=-3.1999998599290844, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940648.621970274] [path_listener_py]: Pose 90: Position (x=0.28647573287003736, y=-2.9613546842538536, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940648.622379183] [path_listener_py]: Pose 100: Position (x=0.32480848185432576, y=-2.7162367301618584, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
